Date,Date_YMD,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
30-Jan-20,30-01-2020,1,1,0,0,0,0
31-Jan-20,31-01-2020,0,1,0,0,0,0
01-Feb-20,01-02-2020,0,1,0,0,0,0
02-Feb-20,02-02-2020,1,2,0,0,0,0
03-Feb-20,03-02-2020,1,3,0,0,0,0
04-Feb-20,04-02-2020,0,3,0,0,0,0
05-Feb-20,05-02-2020,0,3,0,0,0,0
06-Feb-20,06-02-2020,0,3,0,0,0,0
07-Feb-20,07-02-2020,0,3,0,0,0,0
08-Feb-20,08-02-2020,0,3,0,0,0,0
09-Feb-20,09-02-2020,0,3,0,0,0,0
10-Feb-20,10-02-2020,0,3,0,0,0,0
11-Feb-20,11-02-2020,0,3,0,0,0,0
12-Feb-20,12-02-2020,0,3,0,0,0,0
13-Feb-20,13-02-2020,0,3,1,1,0,0
14-Feb-20,14-02-2020,0,3,0,1,0,0
15-Feb-20,15-02-2020,0,3,0,1,0,0
16-Feb-20,16-02-2020,0,3,1,2,0,0
17-Feb-20,17-02-2020,0,3,0,2,0,0
18-Feb-20,18-02-2020,0,3,0,2,0,0
19-Feb-20,19-02-2020,0,3,0,2,0,0
20-Feb-20,20-02-2020,0,3,1,3,0,0
21-Feb-20,21-02-2020,0,3,0,3,0,0
22-Feb-20,22-02-2020,0,3,0,3,0,0
23-Feb-20,23-02-2020,0,3,0,3,0,0
24-Feb-20,24-02-2020,0,3,0,3,0,0
